,h_distance,Elevation
0,0.0,353
1,296.83470254259635,346
2,593.6581134713912,322
3,890.4702338564452,304
4,1187.2710647715444,287
5,1484.0606072886133,315
6,1780.8388624786494,316
7,2077.6058314126435,307
8,2374.3615151671747,318
9,2671.1059148067193,279
10,2967.8390314078583,290
11,3264.5608660387925,292
12,3561.2714197742375,316
13,3857.9706936814628,324
14,4154.658688833325,338
15,4451.33540629616,376
16,4748.0008471456185,411
17,5044.6550124489695,469
18,5341.297903279998,541
19,5637.929520705041,553
20,5934.549865797888,543
21,6231.158939623007,482
22,6527.756743252332,439
23,6824.3432777568505,408
24,7120.918544205695,386
25,7417.482543667994,398
26,7714.035277211948,408
27,8010.576745905759,421
28,8307.106950819485,438
29,8603.62589302226,446
30,8900.13357358321,415
31,9196.629993566816,397
32,9493.115154046862,353
33,9789.589056087822,301
34,10086.051700756962,286
35,10382.503089127138,289
36,10678.9432222619,208
37,10975.37210122851,221
38,11271.789727097028,234
39,11568.196100932862,229
40,11864.59122380235,236
41,12160.975096774624,237
42,12457.347720916949,234
43,12753.70909729473,240
44,13050.059226974305,200
45,13346.39811102201,194
46,13642.72575050605,190
47,13939.04214649089,143
48,14235.347300041944,124
49,14531.641212227405,129
50,14827.923884114543,136
51,15124.19531676411,146
52,15420.455511244298,168
53,15716.704468618656,180
54,16012.942189956317,210
55,16309.168676318955,206
56,16605.38392877384,202
57,16901.587948384516,255
58,17197.780736215456,285
59,17493.962293331137,340
60,17790.13262079603,380
61,18086.29171967461,352
62,18382.439591033213,340
63,18678.576235933524,323
64,18974.701655439076,331
65,19270.81585061435,308
66,19566.91882252289,322
67,19863.010572227307,311
68,20159.091100793936,317
69,20455.16040928166,270
70,20751.21849875589,245
71,21047.265370279234,241
72,21343.30102491524,187
73,21639.325463727444,177
74,21935.3386877766,144
75,22231.34069812345,113
76,22527.33149583248,118
77,22823.31108196536,142
78,23119.279457584707,186
79,23415.236623751265,214
80,23711.182581529512,229
81,24007.11733197647,261
82,24303.04087615382,281
83,24598.95321512604,306
84,24894.854349954803,300
85,25190.744281697134,283
86,25486.62301141937,270
87,25782.49054017482,246
88,26078.346869030735,216
89,26374.191999043218,215
90,26670.02593127581,189
91,26965.848666786464,180
92,27261.660206636865,173
93,27557.460551884033,159
94,27853.249703590576,146
95,28149.027662816316,125
96,28444.794430621998,89
97,28740.55000806186,99
98,29036.294396197576,94
99,29332.027596089894,100
