,h_distance,Elevation
0,0,573
1,71,574
2,143,573
3,214,568
4,286,563
5,357,562
6,429,562
7,500,555
8,572,555
9,643,560
10,715,564
11,787,564
12,858,561
13,930,555
14,1001,550
15,1073,555
16,1144,558
17,1216,558
18,1287,554
19,1359,548
20,1430,532
21,1502,529
22,1573,527
23,1645,533
24,1717,549
25,1788,552
26,1860,558
27,1931,557
28,2003,554
29,2074,554
30,2146,555
31,2217,553
32,2289,542
33,2360,540
34,2432,539
35,2503,535
36,2575,546
37,2646,544
38,2718,542
39,2790,537
40,2861,540
41,2933,539
42,3004,532
43,3076,530
44,3147,536
45,3219,535
46,3290,535
47,3362,540
48,3433,535
49,3505,529
50,3576,531
51,3648,536
52,3719,544
53,3791,550
54,3862,557
55,3934,560
56,4005,554
57,4077,550
58,4148,533
59,4220,526
60,4292,524
61,4363,524
62,4435,528
63,4506,534
64,4578,540
65,4649,554
66,4721,557
67,4792,564
68,4864,564
69,4935,557
70,5007,553
71,5078,548
72,5150,548
73,5221,547
74,5293,549
75,5364,543
76,5436,543
77,5507,537
78,5579,539
79,5650,536
80,5722,535
81,5793,532
82,5865,530
83,5936,532
84,6008,535
85,6079,543
86,6151,550
87,6222,545
88,6294,542
89,6365,525
90,6437,522
91,6508,512
92,6580,512
93,6651,509
94,6723,512
95,6794,528
96,6866,540
97,6937,537
98,7009,532
99,7080,530
