,h_distance,Elevation
0,0,1830
1,26,1814
2,52,1796
3,78,1796
4,105,1779
5,131,1779
6,157,1761
7,183,1751
8,210,1751
9,236,1743
10,262,1743
11,289,1734
12,315,1734
13,341,1721
14,367,1700
15,394,1700
16,420,1681
17,446,1681
18,473,1660
19,499,1642
20,525,1642
21,551,1641
22,578,1641
23,604,1625
24,630,1606
25,656,1606
26,683,1600
27,709,1600
28,735,1595
29,762,1590
30,788,1590
31,814,1594
32,840,1591
33,867,1595
34,893,1608
35,919,1608
36,946,1622
37,972,1622
38,998,1632
39,1024,1637
40,1051,1638
41,1077,1647
42,1103,1647
43,1130,1663
44,1156,1663
45,1182,1663
46,1208,1668
47,1235,1674
48,1261,1690
49,1287,1690
50,1313,1708
51,1340,1728
52,1366,1728
53,1392,1740
54,1419,1740
55,1445,1762
56,1471,1783
57,1497,1783
58,1524,1801
59,1550,1804
60,1576,1825
61,1602,1837
62,1629,1842
63,1655,1850
64,1681,1850
65,1708,1866
66,1734,1898
67,1760,1898
68,1786,1915
69,1813,1915
70,1839,1925
71,1865,1938
72,1892,1938
73,1918,1967
74,1944,1965
75,1970,1982
76,1997,2005
77,2023,2005
78,2049,2027
79,2075,2027
80,2102,2039
81,2128,2063
82,2154,2059
83,2181,2085
84,2207,2085
85,2233,2101
86,2259,2101
87,2286,2117
88,2312,2125
89,2338,2122
90,2364,2140
91,2391,2140
92,2417,2150
93,2443,2174
94,2470,2174
95,2496,2208
96,2522,2208
97,2548,2223
98,2575,2241
99,2601,2241
100,2627,2257
101,2654,2261
102,2680,2270
103,2706,2278
104,2732,2284
105,2759,2295
106,2785,2295
107,2811,2305
108,2837,2318
109,2864,2318
110,2890,2309
111,2916,2309
112,2943,2310
113,2969,2295
114,2995,2295
115,3021,2293
116,3048,2293
117,3074,2297
118,3100,2298
119,3126,2298
120,3153,2317
121,3179,2317
122,3205,2326
123,3232,2332
124,3258,2342
125,3284,2355
126,3310,2355
127,3337,2378
128,3363,2378
129,3389,2398
130,3415,2416
131,3442,2421
132,3468,2457
133,3494,2457
134,3521,2488
135,3547,2509
136,3573,2509
137,3599,2535
138,3626,2535
139,3652,2570
140,3678,2594
141,3704,2594
142,3731,2605
143,3757,2607
144,3783,2618
145,3810,2630
146,3836,2633
147,3862,2641
148,3888,2641
149,3915,2656
150,3941,2674
151,3967,2674
152,3993,2683
153,4020,2683
154,4046,2689
155,4072,2679
156,4098,2679
157,4125,2674
158,4151,2681
159,4177,2683
160,4204,2683
161,4230,2686
162,4256,2706
163,4282,2706
164,4309,2719
165,4335,2733
166,4361,2742
167,4387,2747
168,4414,2747
169,4440,2772
170,4466,2772
171,4493,2786
172,4519,2805
173,4545,2819
174,4571,2830
175,4598,2830
176,4624,2824
177,4650,2819
178,4676,2819
179,4703,2812
180,4729,2812
181,4755,2810
182,4782,2795
183,4808,2795
184,4834,2784
185,4860,2784
186,4887,2765
187,4913,2746
188,4939,2753
189,4965,2736
190,4992,2736
191,5018,2726
192,5044,2716
193,5070,2716
194,5097,2691
195,5123,2691
196,5149,2670
197,5176,2655
198,5202,2655
199,5228,2641
200,5254,2635
201,5281,2624
202,5307,2624
203,5333,2605
204,5359,2588
205,5386,2588
206,5412,2564
207,5438,2553
208,5464,2544
209,5491,2532
210,5517,2532
211,5543,2504
212,5570,2504
213,5596,2478
214,5622,2472
215,5648,2459
216,5675,2457
217,5701,2457
218,5727,2437
219,5753,2423
220,5780,2423
221,5806,2431
222,5832,2431
223,5858,2418
224,5885,2413
225,5911,2413
226,5937,2404
227,5964,2404
228,5990,2393
229,6016,2375
230,6042,2367
231,6069,2356
232,6095,2356
233,6121,2348
234,6147,2328
235,6174,2328
236,6200,2321
237,6226,2321
238,6252,2308
239,6279,2308
240,6305,2307
241,6331,2306
242,6358,2300
243,6384,2291
244,6410,2291
245,6436,2279
246,6463,2263
247,6489,2263
248,6515,2251
249,6541,2239
